Plant_Name,Scientific_Name,Description,Parts_Used,Weather_Conditions_Required_to_Grow,Chemical_Properties,Morphological_Features,Medicinal_Value,Worldwide_regions_Support_their_Growth,References
Blackcurrant,Ribes nigrum,"Ribes nigrum, commonly known as the black currant, is a deciduous shrub native to central and northern Europe and northern Asia. It typically grows to a height of 1.5 meters. The plant is self-fertile. ",The leaves and fruits of the black currant plant are used medicinally.,"Black currants are favored by cool climates and are widely cultivated in cooler parts of the temperate zone, especially in Europe and northern Asia. Higher latitudes (66°34'N vs 60°23'N) in Finland were found to produce berries with higher volatile compound content.",Monoterpene hydrocarbons and oxygenated monoterpenes were found to be the major classes of volatile compounds in black currant berries. Higher radiation and temperatures during the last month before harvest were negatively correlated with volatile content.,Black currant is a deciduous shrub. The leaves are used medicinally.,"The leaves of black currant are astringent. The plant can be used in disorders involving corticotropic, cortico-somatotropic or cortico-gonadotropic activity.","Black currants are widely cultivated in cooler parts of the temperate zone, especially in Europe and northern Asia.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10563683/
Blue cohosh,Caulophyllum thalictroides,"Caulophyllum thalictroides, commonly known as blue cohosh, is a perennial herbaceous plant native to eastern North America. It is a member of the barberry family (Berberidaceae). The plant grows 30-60 cm tall and has distinctive blue-green, trifoliate leaves and small, greenish-yellow flowers that bloom in early spring. The most distinctive feature is the spherical, blue berry-like fruits that develop later in the season and are held stiffly above the foliage.",The rhizome (underground stem) and roots of the blue cohosh plant are the parts most commonly used medicinally.,"Blue cohosh prefers consistently moist, well-drained soils and partial to full shade conditions. It is found naturally in floodplains, forests, and other shaded, moist habitats across its native range.","The plant contains several bioactive alkaloids, including methylcytisine, anagyrine, baptifoline, and magnoflorine. It also contains steroidal saponins like caulosaponin and caulophyllosaponin.","Blue cohosh is an herbaceous perennial with trifoliate, blue-green leaves. The small, greenish-yellow flowers bloom in early spring and develop into distinctive spherical, blue berry-like fruits later in the season.","Blue cohosh has a history of use by Native Americans as a general tonic and to treat a variety of conditions, including menstrual cramps, muscle spasms, inflammation, and to induce labor. However, its safety and efficacy for many of these uses is not well-established.","Blue cohosh is native to eastern North America, ranging from Quebec and Ontario south to Georgia and Alabama. It is found in the wild across this region, particularly in moist, shaded forest habitats.",https://www.sciencedirect.com/topics/medicine-and-dentistry/caulophyllum-thalictroides
Blue gum / Eucalyptus / Tasmanian blue gum / Southern blue gum,Eucalyptus globulus,"Eucalyptus globulus, commonly known as the Tasmanian blue gum or southern blue gum, is a tall, evergreen tree that can grow up to 70 meters in height and have a diameter of 4 to 7 feet. It is a member of the Myrtaceae family and was first discovered on the island of Tasmania in 1792.","The different parts of the Eucalyptus globulus tree, including the leaves, buds, and essential oils, have been used for various purposes. The leaves and essential oils are particularly valuable for their medicinal properties.",Eucalyptus globulus thrives in temperate climates and requires well-drained soil. It is adapted to a wide range of climatic conditions and can grow in areas with moderate to high rainfall. The tree is also relatively drought-tolerant.,"Eucalyptus globulus is rich in phytochemical constituents, including 1,8-cineole, cryptophane, and various esters, carboxylic acids, and aldehydes. These compounds contribute to the tree's medicinal and therapeutic properties.","Eucalyptus globulus is a tall, evergreen tree with a straight, cylindrical trunk and a spreading, open canopy. The leaves are long, narrow, and blue-green in color, with a distinctive waxy coating. The tree also produces white, cup-shaped flowers.","Eucalyptus globulus has a wide range of medicinal properties, including anti-inflammatory, analgesic, anti-nociceptive, antimicrobial, antifungal, antiviral, and antioxidant activities. The essential oils and extracts from the tree have been used to treat various ailments, such as respiratory infections, skin conditions, and insect infestations.","Eucalyptus globulus is native to southeastern Australia, particularly the island of Tasmania. However, it has been introduced and cultivated in many other parts of the world, including the Mediterranean region, South America, and parts of Africa and Asia.",https://www.sciencedirect.com/science/article/pii/S2468227621000624
Blue spur flower/ Indian Coleus / Woolly plectranthus ,Plectranthus barbatus,"Plectranthus barbatus, commonly known as woolly plectranthus or blue spur flower, is a tropical perennial plant belonging to the Lamiaceae family. It is characterized by its large, bushy structure and produces deep blue to purple flowers. The plant can grow up to 5-8 feet tall and wide, making it a striking addition to gardens. It is notable for its medicinal properties, particularly its ability to produce forskolin, a compound with various pharmaceutical applications.","The primary parts of Plectranthus barbatus utilized in traditional medicine are its roots and leaves. The roots are particularly valued for their therapeutic properties, while the leaves can also be used for various herbal applications.","Plectranthus barbatus thrives in USDA hardiness zones 9 to 11, preferring full sun to partial shade. It is drought-tolerant but benefits from regular irrigation for optimal growth. The plant is not frost-tolerant; however, it can resprout after frost damage if temperatures do not drop below 20 to 25 °F. It prefers well-draining soil and can tolerate short periods of drought due to its ability to store water in its stems.","The plant is known for its phytochemical constituents, including various terpenoids and flavonoids, which contribute to its medicinal and therapeutic properties. Research has highlighted its potential anti-inflammatory, analgesic, and antimicrobial effects, making it significant in traditional medicine practices.","Plectranthus barbatus exhibits a robust structure with thick stems and large, hairy leaves that have serrated margins. The flowers are typically pink to white and appear in clusters, adding to the plant's ornamental appeal. Its growth habit is bushy, making it suitable for use as a hedge or backdrop in garden settings.","This plant is widely recognized in traditional medicine, particularly in Ayurvedic practices, where it is referred to as Gandhmoolika. It is used for treating various ailments, including respiratory issues and digestive disorders. The roots are consumed for their health benefits, and the plant is also noted for its potential use in modern herbal medicine due to its bioactive compounds.","Plectranthus barbatus is native to a broad range that includes regions in Pakistan, India, Nepal, and parts of East Africa. It has been naturalized in various countries, including Brazil and Sri Lanka, due to its adaptability and the demand for its medicinal properties. The plant is cultivated in many tropical and subtropical regions worldwide, where it is appreciated for both its aesthetic and functional uses.",https://pubmed.ncbi.nlm.nih.gov/20178070/
Boneset,Eupatorium perfoliatum,"Eupatorium perfoliatum, commonly known as boneset, is a large, hairy, clump-forming perennial native to eastern and central North America. It typically grows 4-6 feet tall with wrinkled, lance-shaped leaves that have bases that join to surround the hairy stems (hence the name ""perfoliatum"" meaning ""through the foliage""). The plant produces flat-topped clusters of small, fluffy white flowers in late summer to fall.","The leaves, flowers, and stems of Eupatorium perfoliatum have been traditionally used for medicinal purposes.","Eupatorium perfoliatum prefers moist, wet soils and full sun to partial shade. It grows well in a variety of soil types including clay, loam, and sandy soils. The plant requires constant moisture and may flop in rich, fertile soils.","The plant contains various phytochemicals including volatile oils, caffeic acid derivatives, flavonoids, sesquiterpene lactones, and tannins. It also contains potentially toxic pyrrolizidine alkaloids.","Eupatorium perfoliatum is a large, clump-forming perennial with hairy, wrinkled leaves that have bases that join around the stem. The small white flowers are arranged in flat-topped clusters at the top of the stems.","Historically, Eupatorium perfoliatum has been used in traditional medicine to treat a variety of conditions including fevers, colds, flu, and rheumatism. Research indicates the plant may have anti-inflammatory, antiplasmodial, and immunomodulating properties. ","Eupatorium perfoliatum is native to eastern and central North America, ranging from Canada to the southeastern United States.",https://www.sciencedirect.com/science/article/abs/pii/S037887411100729X
Brahmi / water hyssop,Bacopa monnieri,"Bacopa monnieri is a perennial, creeping herb native to the wetlands of southern and Eastern India, Australia, Europe, Africa, Asia, and North and South America. It is known by common names such as water hyssop, waterhyssop, brahmi, thyme-leafed gratiola, herb of grace, and Indian pennywort. Bacopa monnieri is a non-aromatic herb with succulent, oblong leaves that are 4–6 mm thick and arranged oppositely on the stem. The small, white flowers have four to five petals.",The whole plant of Bacopa monnieri is used medicinally.,"Bacopa monnieri commonly grows in marshy areas and can even tolerate slightly brackish conditions. It is found throughout India, Nepal, Sri Lanka, China, Pakistan, Taiwan, Vietnam, tropical and southern Africa, on Madagascar, in Australia, in the Caribbean, and in Middle and South America. It used to be found growing wild in freshwater swamps of Singapore and nearby regions known as beremi.","The best characterized phytochemicals in Bacopa monnieri are dammarane-type triterpenoid saponins known as bacosides, with jujubogenin or pseudo-jujubogenin moieties as aglycone units. Other compounds include alkaloids like brahmine, nicotine, and herpestine, as well as D-mannitol, apigenin, hersaponin, monnierasides, cucurbitacin, and plantainoside B.","Bacopa monnieri is a non-aromatic herb with succulent, oblong leaves that are 4–6 mm thick and arranged oppositely on the stem. The small, white flowers have four to five petals.","Bacopa monnieri has been used in Ayurvedic traditional medicine for centuries, with beliefs that it may improve memory and treat various other ailments. Preliminary research suggests it may improve cognition, specifically memory and learning, although the effect is only measurable after several weeks of use. However, the FDA has warned against unproven claims that Bacopa monnieri can treat or prevent diseases like Alzheimer's, stomach issues, and anxiety.","Bacopa monnieri is one of the most widespread Bacopa species, commonly growing in marshy areas throughout India, Nepal, Sri Lanka, China, Pakistan, Taiwan, Vietnam, tropical and southern Africa, on Madagascar, in Australia, in the Caribbean, and in Middle and South America. It is also found in Florida, Louisiana, Texas, and Hawaii in the United States.",https://www.sciencedirect.com/topics/medicine-and-dentistry/bacopa-monnieri
Brihati,Solanum indicum ,Brihati is a medicinal plant belonging to the Solanaceae family.,"The whole plant, especially the roots and fruits, is used medicinally.","Solanum indicum requires a warm, preferably dry climate with abundant sunshine. The optimal temperature range is 21-27°C. In northern India, the plant can be adversely affected by frost during December-January, but it recovers in the spring season.","The plant contains alkaloids such as carpesterol, solanocarpine, solasonine, solamargine and β-solamargine.","Brihati is a perennial shrub that grows 60-250 cm in height. The stems are greenish-yellow or purple in color and covered with straight or curved yellow, purple spines. The leaves are ovate to oblong in shape, 5-15 cm long, and have a wavy margin.","The plant has anthelmintic, bronchitis-relieving, fever-reducing, thirst-quenching, and diuretic properties. The leaves are used to treat piles, and the fruits are laxative.","Solanum indicum is found in Asia, Africa, Australia and India.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9424827/
Broadleaf Hop bush,Dodonaea viscosa,"Dodonaea viscosa, known as the broadleaf hop bush, is a shrub or small tree that can grow up to 7 meters tall. It has a bushy appearance with leathery leaves that are alternate and simple.","The leaves, stems, and roots are used for various medicinal preparations. The leaves are often utilized in traditional remedies.",This plant prefers warm temperate to tropical climates and thrives in well-drained soils. It can tolerate drought conditions but flourishes with adequate moisture.,"Phytochemical analysis reveals the presence of flavonoids, alkaloids, terpenoids, saponins, and tannins which contribute to its medicinal properties","Dodonaea viscosa features inconspicuous flowers that lack petals; they are dioecious, meaning male and female flowers occur on separate plants. Its fruits are distinctive winged capsules that mature from green to red.","This plant is noted for its anti-inflammatory, antimicrobial, and analgesic properties. It is traditionally used for treating rheumatism, skin infections, gastrointestinal issues, and as an antipyretic","Originally native to Australia, it has spread throughout tropical regions including Africa, the Americas, southern Asia, and Australasia",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8233356/
Broccoli,Brassica oleracea var. italica,"Broccoli is a green vegetable that belongs to the cabbage family, Brassicaceae. It is known for its edible flowering head, which is typically dark green and arranged in a tree-like structure branching out from a thick, light green stalk. The leaves surrounding the head are also edible. Broccoli is highly nutritious and valued for its health benefits.","Flowering heads , Stalks , Leaves (sometimes used in culinary dishes)","Broccoli prefers cool weather and grows best in temperatures between 65-75°F (18-24°C). It can tolerate light frost but not high temperatures, which can cause it to bolt (flower prematurely). It Requires well-drained soil with a pH of 6.0 to 7.0. Adequate sunlight (at least 6 hours of direct sunlight per day).","Broccoli is a rich source of antioxidants, including vitamins C, K, and A. It also contains several important minerals, including potassium, calcium, and iron. These antioxidants help protect the body from oxidative stress and reduce inflammation. The major compounds were linoleic acid, palmitic acid. linolenic acid, oleic acid, stearic acid and myrestic acid. It contains significant amounts of vitamin A, folate, and dietary fiber. High in sulforaphane, a compound believed to have potent anti-cancer properties. Contains various antioxidants and phytonutrients like lutein, zeaxanthin, and beta-carotene.","The plant has a thick, fibrous stalk that branches out into several green flower heads. Leaves are broad, green, and slightly wavy with a waxy texture. Broccoli heads are clusters of tightly packed flower buds, which are harvested before they bloom.","Broccoli contains glucosinolates, which the body can convert into substances that may help fight cancer. Broccoli's fiber, fatty acids, and vitamins may help regulate blood pressure, lower cholesterol, and protect blood vessels. Broccoli is rich in vitamin C, which is essential for immune function and may help prevent and treat illnesses. It also contains sulfur, which may support gut health and help protect against infection. Broccoli contains nutrients that may help with bone formation and prevent bone density loss. Broccoli may help protect the retina and eye lens, and reduce the risk of macular degeneration and cataracts.","Broccoli is widely grown in temperate climates across the world. Major producers include China, India, the United States, Italy, and Spain. It is also grown in regions with similar climates in Europe, Australia, and Canada.",https://www.sciencedirect.com/science/article/pii/S0924224421006725
Broom / Scotch broom,Sarothamnus scoparius,"Sarothamnus scoparius, commonly known as Scotch broom or common broom, is a deciduous leguminous shrub native to western and central Europe. It typically grows 1-3 meters (3-10 feet) tall, with main stems up to 5 cm (2 inches) thick, rarely reaching 4 m (13 ft) in height.","The aerial parts of the plant, including the stems, leaves, flowers, and seed pods, are used medicinally.","Sarothamnus scoparius is adapted to Mediterranean and coastal climates, and its range is limited by cold winter temperatures. It also adapts to windy oceanic climates. The plant prefers sunny sites on dry, sandy soils at low altitudes and can tolerate very acidic soil conditions.","The plant contains toxic alkaloids such as cytisine that depress the heart and nervous system. It also contains biogenic amines, flavonoids, isoflavones, and quinolizidine alkaloids like sparteine, lupanine, and scoparin.","Sarothamnus scoparius has green, ridged stems and small, deciduous trifoliate leaves 5-15 mm long. In spring and summer, it is covered in profuse golden yellow flowers 20-30 mm long and 15-20 mm wide. The seed pods are 2-3 cm long, 8 mm broad, and 2-3 mm thick, with long hairs only along the seams. The pods burst open forcefully, throwing the seeds from the parent plant.","Despite serious safety concerns, Sarothamnus scoparius has been used traditionally for heart problems, fluid retention, poor circulation, low blood pressure, fast heartbeat, and irregular heartbeat. It has also been used for bleeding disorders, gout, muscle/joint pain, nerve disorders, gallstones, kidney stones, and other conditions, though evidence for its effectiveness is insufficient.","Sarothamnus scoparius is native to western and central Europe, including Great Britain and Ireland. Outside its native range, it has become an invasive species in grasslands, shrublands, and woodlands in other parts of the world.",https://www.sciencedirect.com/science/article/pii/S0065250408602251
Bryophyllum / Panfuti,Kalanchoe pinnata,"Kalanchoe pinnata is a succulent, perennial plant that grows up to 1 m (39 in) tall. It has fleshy cylindrical stems and young growth with a reddish tinge. The leaves are thick, fleshy, elliptical in shape, curved, with a crenate or serrated margin, often reddish. The leaves are simple at the base of the stem and imparipinnate at the top, 10–30 cm (4–12 in) long, with three to five pairs of fleshy limb lobes.",The leaves and leaf extracts are the most commonly used parts of Kalanchoe pinnata for medicinal purposes.,"Kalanchoe pinnata can be found in warm and temperate climates from sea level to 2,600 m (8,500 ft), occupying sites on rock in tropical evergreen and dry deciduous forests, as well as montane forests.","The plant contains various phytochemicals such as flavonoids, bufadienolides, and organic acids, which contribute to its medicinal properties.","The leaves are remarkable for their ability to produce bulbils. At their margin, between the teeth, adventitious buds appear, which produce roots, stems, and leaves. The terminal inflorescence is a panicle, with many pendent, red-orange flowers. The calyx is formed of a long tube, red at the base, veined with yellowish green (or green spotted with reddish brown), with four very small triangular lobes at the end. The tubular corolla, with a pronounced constriction separating the subspherical part of the ovoid part, is terminated by four lobes which reaches 5 cm (2.0 in) in length. It is yellowish in color with red-purple streaks.","Kalanchoe pinnata has been used in traditional medicine for the treatment of various ailments, including headaches, cuts, wounds, eye diseases, stomach disorders, jaundice, pain, fever, diarrhea, and cutaneous lesions.
","Kalanchoe pinnata is native to Madagascar and has become naturalized in tropical and subtropical areas, including parts of Asia, Africa, Australia, New Zealand, the West Indies, Bermuda, Macaronesia, the Mascarenes, Brazil, Suriname, the Galapagos Islands, Melanesia, Polynesia, and Hawaii.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/bryophyllum-pinnatum
Buchu / Honey Buchu / Mountain Buchu ,Agathosma betulina,"Agathosma betulina, commonly known as round-leaf buchu, is a flowering plant native to the lower elevation mountains of western South Africa, particularly in fynbos habitats near streams. This evergreen shrub typically grows to about 2 meters (6.7 feet) tall and features opposite, rounded leaves that are glossy and fragrant, measuring approximately 20 mm (0.79 inches) in length and width. The flowers are white or pale pink, comprising five petals, while the fruit is a five-part capsule that opens to release seeds.","The primary parts of buchu utilized for medicinal and culinary purposes are its leaves. These leaves are rich in essential oils and are used to create various preparations, including teas, tinctures, and oils. The essential oils extracted from the leaves contain key compounds such as isomenthone and diosphenol, which contribute to the plant's flavor and therapeutic properties.","Agathosma betulina thrives in well-drained, acidic soil with a pH range of 3.5 to 6.5. It prefers full sun to partial shade and requires moderate watering, particularly in winter, while being able to withstand periods of drought once established. The plant is sensitive to soil disturbance and benefits from mulching to maintain root moisture and temperature.","The essential oils of buchu contain several significant compounds, including isomenthone, diosphenol, limonene, menthone, and l-pulegone. These compounds are responsible for the plant's characteristic aroma and flavor, as well as its medicinal effects. The oil has been noted for its antimicrobial and anti-inflammatory properties, making it valuable in traditional medicine.","Morphologically, Agathosma betulina is characterized by its evergreen shrub form, reaching heights of up to 2 meters. The leaves are rounded, glossy, and aromatic, contributing to the plant's distinctive fragrance. The flowers are solitary and star-shaped, typically white or pale purple, and the fruit is a five-parted capsule.","Traditionally, Agathosma betulina has been used by indigenous South African peoples for various medicinal purposes, particularly for treating urinary tract infections and digestive issues. The leaves are often made into teas or tinctures and have been used as a natural flavoring agent. Its essential oils are also employed in cosmetics and other products due to their therapeutic properties.
","Buchu is primarily found in the Cape region of South Africa, where it grows in fynbos ecosystems. While it is cultivated for commercial use, particularly for its essential oils, its natural habitat remains crucial for its sustainability. Efforts are being made to cultivate this species due to concerns about overharvesting in the wild.",https://www.sciencedirect.com/science/article/abs/pii/B9780323997942000192
Burans / Guras / Laliguras,Rhododendron falconeri,Rhododendron falconeri is an evergreen shrub or small tree native to the Himalayas. It can reach heights of up to 10 meters.,The leaves and flowers are primarily used for their medicinal properties.,"This plant thrives in cool, moist environments with acidic soils. It prefers partial shade and high humidity.","Rhododendron falconeri contains flavonoids, tannins, and other phenolic compounds that exhibit antioxidant properties.",It features large leathery leaves with a glossy surface and produces beautiful trumpet-shaped flowers that range from white to pale yellow.,"Traditionally used in herbal medicine for its anti-inflammatory and analgesic effects, it is also believed to support respiratory health.",This species is found primarily in the Himalayas but can also be cultivated in similar temperate regions around the world.,https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-019-0251-3
Butua / False Pareira / Pareira,Cissampelos pareira Linn,"Cissampelos pareira, is a climbing shrub belonging to the Menispermaceae family. This plant features slender, pubescent stems and can grow as a lofty climber, often reaching heights that allow it to twine around other vegetation. The leaves are typically orbicular or broadly ovate, measuring between 2.5 to 12 cm in length and 2.5 to 11.5 cm in width. They are characterized by a cordate or truncate base and may exhibit a tomentose texture on both surfaces. The flowers are small and greenish-yellow, with male and female flowers occurring in distinct clusters. The fruit is a globose drupe, which is hairy and scarlet when fresh, turning black upon drying.","The medicinal properties of Cissampelos pareira are derived from various parts of the plant, including roots, bark, leaves. These parts are utilized in traditional medicine for their diverse therapeutic benefits.","Pareira thrives in tropical and subtropical climates. It prefers warm, humid conditions and is typically found at elevations up to 4,000 feet, with some occurrences noted as high as 6,000 feet in India. The plant is adaptable to various soil types but flourishes best in well-drained, fertile soils that retain moisture.","The plant is rich in bioactive compounds, particularly isoquinoline alkaloids, which contribute to its medicinal properties. Notable alkaloids identified include cycleanine, hayatidin, hayatinin, and hayatin. These compounds are associated with various pharmacological activities, including anti-inflammatory, antipyretic, and antimicrobial effects. The chemical profile of Cissampelos pareira also includes flavonoids and fatty acids, which further enhance its therapeutic potential.","The morphological characteristics of pareira includes slender, pubescent, capable of climbing stem; peltate, broadly ovate to orbicular leaves, with a mucronate tip.
Small, greenish-yellow flowers, with male flowers clustered in leaf axils and female flowers on solitary racemes. A globose drupe, approximately 4-6 mm long, with a hairy surface that changes color from scarlet to black upon drying.","Pareira is revered in traditional medicine systems such as Ayurveda and Traditional Chinese Medicine. It is used for a variety of ailments, including fever, diarrhea, urinary diseases, dyspepsia, skin diseases, chronic ulcers. Research indicates its potential in treating conditions like malaria, inflammation, and various infections due to its antioxidant and immunomodulatory properties. The plant's extracts have shown efficacy in preclinical studies for conditions such as gastric ulcers and rheumatism","Cissampelos pareira is predominantly found in Tropical and subtropical regions of India, Southeast Asia, East Africa, Parts of the Americas. It is commonly found in moist, forested areas and is known to thrive in the valleys of regions such as Simla and Dun in India. The plant has also been reported in various countries across Asia, including Thailand and Nepal.",https://www.sciencedirect.com/science/article/abs/pii/S0378874121000763
Ca-A-E / Stevia / Sweet Leaf of Paraguay,Stevia rebaudiana,"Stevia rebaudiana Bertoni is a perennial shrub native to Paraguay, recognized for its leaves that contain sweet compounds known as steviol glycosides, primarily stevioside and rebaudioside A. These compounds are approximately 250-300 times sweeter than sucrose, making Stevia a popular sugar substitute globally","The primary parts used from Stevia rebaudiana are the leaves, which are harvested for their high content of sweet glycosides. The leaves can be consumed fresh, dried, or processed into extracts for various culinary and medicinal applications","Stevia rebaudiana thrives in warm, temperate to tropical climates. It prefers well-drained soil with a pH between 6.0 and 7.0 and requires full sunlight for optimal growth. The plant is sensitive to frost and performs best in temperatures ranging from 20°C to 30°C (68°F to 86°F)","The leaves of Stevia contain over 30 different steviol glycosides, with stevioside and rebaudioside A being the most prevalent. These compounds exhibit various biological activities, including anti-diabetic, anti-inflammatory, and antioxidant effects. Stevioside is a diterpene glycoside composed of glucose molecules linked to a steviol backbone","Stevia rebaudiana typically grows to about 60-120 cm in height. The plant has broad green leaves that are serrated and can measure up to 4 cm long. The flowers are small and white, appearing in clusters during the flowering season","Research indicates that Stevia rebaudiana has multiple health benefits, including anti-cancer properties, blood sugar regulation, and potential improvements in kidney function. Its extracts have shown promise in reducing oxidative stress and inflammation. Additionally, stevioside has been studied for its insulinotropic effects, making it beneficial for diabetic patients","Stevia rebaudiana is cultivated in various regions worldwide, including Japan, Brazil, China, India, and the United States. Its commercial cultivation has expanded due to increasing demand for natural sweeteners as alternatives to sugar and artificial sweeteners",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/stevia-rebaudiana
Cajeput / Cajuput / Vietnamese Cajuput Oil,Melaleuca cajuputi,"Melaleuca cajuputi, commonly known as cajeput or cajuput, is a tree belonging to the Myrtaceae family, native to Australia and Southeast Asia. This species is notable for its medicinal properties and its adaptability to various environmental conditions. Melaleuca cajuputi is a medium to large tree that typically reaches heights of 10 to 20 meters, although it can grow up to 40 meters under ideal conditions. The trunk can have a diameter of up to 1.2 meters. The bark is distinctive, grey-white, and peels off in papery sheets. The leaves are elongated, leathery, and arranged alternately, measuring up to 10 cm in length. The flowers are small, typically about 10 mm in diameter, and are clustered in dense spikes that can be white, cream, or greenish-yellow in color. The tree produces urn-shaped capsules that contain numerous tiny seeds.","The primary parts of Melaleuca cajuputi used for medicinal purposes are the leaves and the essential oil extracted from them. The essential oil, known as cajeput oil, is derived through steam distillation and contains compounds such as cineole, which is known for its antiseptic properties. The bark and wood are also utilized for various applications, including construction and as firewood.","Melaleuca cajuputi thrives in humid tropical lowland climates, typically in frost-free areas. It prefers annual temperatures ranging from 19 to 35°C and requires annual rainfall between 900 to 4000 mm. The tree is often found in low, swampy coastal plains and can tolerate seasonal flooding. It grows well in heavy clay soils and can withstand brackish and acidic conditions.","The essential oil of Melaleuca cajuputi is characterized by its high content of cineole (eucalyptole), which imparts antiseptic and anti-inflammatory properties. This oil is used in various medicinal applications, including treatments for respiratory issues, skin ailments, and as a counterirritant for muscle pain. The oil is also utilized in personal care products, such as toothpaste and lotions, due to its fragrance and therapeutic benefits.","Morphologically, Melaleuca cajuputi exhibits a stout trunk with a heavily branched crown that is pyramidal when young and becomes rounded with age. The leaves are simple and glabrous with a dull green color, featuring longitudinal lines. The flowers are notable for their long white filaments, and the tree produces small, woody seed capsules that are cup-shaped, aiding in seed dispersal.","Cajuputi has a long history of medicinal use. The essential oil is effective for treating coughs, colds, and respiratory infections when inhaled or applied topically. It is also used as an antibacterial and anti-inflammatory agent, making it beneficial for skin conditions. In traditional medicine, it has been utilized for its vermifuge properties and as a treatment for infections of the genitourinary system.","Melaleuca cajuputi is cultivated in various regions, including southern China, Taiwan, Indonesia, Malaysia, Thailand, Vietnam, and Papua New Guinea. Its natural habitat extends from northern Australia to the Philippines and the Moluccas. The tree is often found in coastal areas and is commonly planted for ornamental purposes, as well as for its ecological benefits in providing shade and habitat.",https://link.springer.com/article/10.1007/s13596-024-00763-0
Calabash / Bottle gourd,Lagenaria siceraria,"Lagenaria siceraria, also known as the bottle gourd or calabash, is a vigorous, annual, running or climbing vine that belongs to the Cucurbitaceae family. It is characterized by large leaves, a lush appearance, and a thick, furrowed stem. The vine is branched and climbs by means of tendrils along the stem. The foliage is covered with soft hairs and has a foul, musky odor when crushed","All parts of the Lagenaria siceraria plant, including the ripe fruits, leaves, stem, and flowers, can be used for medicinal purposes.
",Lagenaria siceraria can be grown anywhere in frost-free regions during the year. It prefers full sun exposure and can be grown in USDA hardiness zones 2a to 11b.,"Lagenaria siceraria contains various phytochemicals, including polysaccharides, proteins, and other bioactive compounds. These compounds have been found to possess a wide range of pharmacological activities, such as antioxidant, anti-inflammatory, antimicrobial, and anticancer properties.","The plant is a vigorous, annual vine with large, lobed leaves and a lush appearance. The flowers are white and attractive, up to 4 inches in diameter, with spreading petals. The fruit can vary greatly in size, shape, and color, ranging from 2 to 12 inches in diameter and 4 to 40 inches in length. The fruit can have a sterile (seedless) neck and the seed-containing portion can be flat, round, cylindrical, club-shaped, or long and narrow.","Lagenaria siceraria has been used in traditional medicine systems to treat a variety of ailments. The plant has been reported to possess immunomodulatory, antioxidant, hepatoprotective, anti-stress, cardioprotective, adaptogenic, anti-inflammatory, antihyperlipidemic, and analgesic activities, among others.","Lagenaria siceraria is widely cultivated in tropical and subtropical regions, including parts of Africa, Asia, and the Americas. It is believed to have originated in western tropical Africa and spread to other parts of the world in pre-Columbian times.",https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2022.927361/full
Calamus / Flagroot / Myrtle Flag / Sweet Calamus / Sweetflag / Sweetroot,Acorus calamus,"Acorus calamus, commonly known as sweet flag or calamus, is a wetland plant known for its aromatic rhizome.",The rhizome is primarily used for medicinal purposes and flavoring.,Sweet flag prefers wet soils and can grow in shallow water or marshy conditions. It thrives in temperate climates.,The rhizome contains essential oils rich in beta-asarone which contribute to its medicinal properties.,This plant can reach heights of up to 1 meter with long sword-like leaves that grow from the base.,Acorus calamus has been traditionally used for digestive disorders and as a sedative.,"It is found across North America, Europe, and Asia in wetlands.",https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/acorus-calamus
Calendula / Marigold / Pot marigold,Calendula officinalis,"Calendula officinalis is an annual herbaceous plant that grows 30-60 cm tall. It has branching stems, oblong-lanceolate leaves, and large yellow or orange flower heads 4-7 cm in diameter with ray and disc florets.",The dried petals and pollen of the marigold flower are the parts used for medicinal purposes.,Calendula officinalis thrives in sunny locations and can grow in almost any soil type. It is native to Mediterranean countries but is now cultivated as an ornamental plant worldwide.,"The petals and pollen of Calendula officinalis contain triterpenoid esters, carotenoids like flavoxanthin and auroxanthin, as well as other compounds like flavonol glycosides, triterpene oligoglycosides, saponins, and essential oils.","Marigold is an annual or short-lived perennial plant with hairy, waxy stems and leaves. The large flower heads have yellow or orange ray florets surrounding central disc florets. The fruit is a curved achene.","Calendula has been used traditionally to treat stomach issues, menstrual cramps, and skin conditions. Marigold may have anti-viral, anti-inflammatory, and wound healing properties when applied topically.","Calendula officinalis is native to the Mediterranean region but is now widely cultivated and naturalized in warm temperate regions around the world, including Europe, Western Asia, and North America.
",https://www.sciencedirect.com/topics/medicine-and-dentistry/calendula-officinalis
